春港丽园(公寓) 2室2厅 77.48平米,2017.10,376,48529
益丰新村 2室2厅 76.02平米,2017.10,385,50645
玉兰香苑(四期) 2室2厅 98.58平米,2017.10,470.6,47738
张江新苑 3室2厅 126.62平米,2017.10,658,51967
中芯花园(公寓) 3室2厅 125.46平米,2017.09,790,62969
汤臣高尔夫(公寓) 3室2厅 138.53平米,2017.09,950,68578
东郊花园 5室3厅 551.6平米,2017.09,5500,99710
张江新苑 2室2厅 102.34平米,2017.09,570,55697
杨镇新村 3室1厅 85.75平米,2017.09,368,42916
益丰新村 2室2厅 76平米,2017.09,384,50527
日月光水岸花园(公寓) 2室2厅 86.41平米,2017.09,605,70016
玉兰香苑(二期) 2室2厅 89.9平米,2017.09,445,49500
建中路171弄 2室1厅 71平米,2017.09,367.8,51803
张江公馆 2室2厅 71.4平米,2017.09,358,50141
城市经典(四期) 2室2厅 107.1平米,2017.09,610,56957
中芯花园(公寓) 3室2厅 125.07平米,2017.09,808,64604
香楠小区 3室1厅 75.2平米,2017.09,450,59841
古桐五村 2室2厅 95.35平米,2017.09,473.6,49670
紫晶苑 4室1厅 101.67平米,2017.09,425,41802
汤臣高尔夫(别墅) 5室2厅 305.67平米,2017.09,2320,75899
张江公馆 3室2厅 105.39平米,2017.09,487.5,46257
贝越流明新苑 3室2厅 103平米,2017.09,538,52234
张江汤臣豪园(二期) 2室2厅 74.94平米,2017.09,625,83401
张江汤臣豪园(二期) 3室2厅 107平米,2017.09,770,71963
广兰名苑 3室2厅 144.75平米,2017.09,790,54577
张江汤臣豪园(二期) 2室2厅 76.87平米,2017.09,611.5,79550
盛大天地青春里(一期) 1室1厅 69平米,2017.09,208,30145
春港丽园(公寓) 3室1厅 77.3平米,2017.08,348,45020
城市经典(四期) 2室2厅 114.05平米,2017.08,720,63131
玉兰香苑(四期) 3室2厅 122.97平米,2017.08,585,47573
樟盛苑 2室2厅 90.66平米,2017.08,435,47982
益丰新村 2室1厅 75.93平米,2017.08,372,48993
玉兰香苑(三期) 2室2厅 93.76平米,2017.08,430,45862
香楠小区 3室1厅 75平米,2017.08,397,52934
杨镇新村 2室1厅 71.67平米,2017.08,325.5,45417
绿地MTOWN 1室0厅 37平米,2017.08,170,45946
阳光花城 3室2厅 113.25平米,2017.08,708,62517
春港丽园(公寓) 2室2厅 76.46平米,2017.08,358,46822
张江汤臣豪园(四期) 2室2厅 90.26平米,2017.08,770,85310
城市经典(四期) 3室2厅 162.03平米,2017.08,1080,66655
城市经典(三期) 4室2厅 328.76平米,2017.08,1618,49216
玉兰香苑(三期) 3室2厅 119.86平米,2017.08,548,45721
张江汤臣豪园(三期) 2室2厅 88.66平米,2017.08,730,82338
玉兰香苑(三期) 1室1厅 57.96平米,2017.07,312,53831
孙桥花苑 2室2厅 67.43平米,2017.07,307,45529
日月光水岸花园(公寓) 3室2厅 144.35平米,2017.07,935,64774
东郊紫园 4室2厅 377.41平米,2017.07,1950,51668
春港丽园(公寓) 2室2厅 77.48平米,2017.07,380,49045
毕加索小镇(一期)(公寓) 1室1厅 66平米,2017.07,416,63031
城市经典二期(公寓) 2室2厅 101.65平米,2017.07,722,71029
香楠小区 3室1厅 80.34平米,2017.07,415,51656
玉兰香苑(四期) 2室1厅 61.87平米,2017.07,354,57217
玉兰香苑(二期) 1室1厅 60平米,2017.07,325,54167
汤臣高尔夫(别墅) 6室2厅 722.66平米,2017.07,6500,89946
玉兰香苑(二期) 1室1厅 60平米,2017.07,325,54167
阳光花城 2室2厅 97.62平米,2017.07,640,65561
张江汤臣豪园(四期) 2室2厅 89.9平米,2017.07,763,84873
张江汤臣豪园(二期) 2室2厅 76.87平米,2017.07,630,81957
张江汤臣豪园(四期) 3室2厅 130.85平米,2017.07,1060,81009
紫晶苑 2室2厅 80.24平米,2017.07,355,44243
玉兰香苑(二期) 3室2厅 121平米,2017.06,650,53720
张江公馆 3室2厅 105平米,2017.06,550,52381
汤臣高尔夫(公寓) 3室2厅 169.56平米,2017.06,1100,64874
益丰新村 2室1厅 75.44平米,2017.06,380,50372
玉兰香苑(三期) 1室1厅 61.19平米,2017.06,330,53931
展想悦廷 2室2厅 95平米,2017.06,240,25264
玉兰香苑(三期) 2室2厅 91.04平米,2017.06,433,47562
孙桥花苑 2室1厅 75.02平米,2017.06,300,39990
玉兰香苑(一期) 2室2厅 82.55平米,2017.06,448,54271
玉兰香苑(四期) 2室1厅 58.12平米,2017.06,318,54715
东方别墅 5室2厅 635.37平米,2017.06,4260,67048
汤臣豪园一期 4室2厅 174平米,2017.06,1250,71840
日月光水岸花园(公寓) 2室2厅 88.95平米,2017.06,609.5,68522
城市经典(四期) 2室2厅 112.42平米,2017.06,732,65113
古桐公寓 2室2厅 75.2平米,2017.06,398,52926
香楠小区 2室1厅 67.48平米,2017.06,445,65946
川杨新苑(三期) 3室2厅 112.22平米,2017.06,510,45447
玉兰香苑(二期) 3室2厅 109.26平米,2017.06,526,48143
汤臣豪庭 5室2厅 183.53平米,2017.06,1200,65385
杨镇新村 3室1厅 85.61平米,2017.06,415,48476
玉兰香苑(四期) 2室2厅 91.1平米,2017.06,464,50934
日月光水岸花园(公寓) 3室2厅 111.6平米,2017.06,740,66309
川杨新苑(二期) 3室2厅 91.6平米,2017.06,445,48581
汤臣豪庭 5室2厅 192.66平米,2017.05,1200,62286
玉兰香苑(二期) 2室2厅 89.32平米,2017.05,445,49821
毕加索小镇(一期)(公寓) 1室1厅 66平米,2017.05,420,63637
汤臣豪庭 6室2厅 178.14平米,2017.05,1265,71012
毕加索小镇(一期)(公寓) 2室2厅 93平米,2017.05,506,54409
绿地MTOWN 1室0厅 38.7平米,2017.05,200,51680
中芯花园(公寓) 2室2厅 103平米,2017.05,640,62136
东郊紫园 3室2厅 245.3平米,2017.05,1995,81329
绿地MTOWN 1室1厅 38平米,2017.05,208,54737
汤臣高尔夫(别墅) 4室2厅 458.66平米,2017.05,4500,98112
汤臣高尔夫(别墅) 4室2厅 458.66平米,2017.05,4500,98112
玉兰香苑(四期) 1室1厅 58平米,2017.05,340,58621
阳光花城 3室2厅 135.88平米,2017.05,860,63292
汤臣高尔夫(别墅) 6室2厅 435.87平米,2017.05,3500,80300
毕加索小镇(二期)(公寓) 3室2厅 150平米,2017.05,550,36667
玉兰香苑(二期) 2室1厅 58.98平米,2017.05,323,54765
张江汤臣豪园(三期) 2室2厅 87.32平米,2017.05,665,76157
中芯花园(公寓) 2室2厅 107.87平米,2017.05,660,61185
张江汤臣豪园(四期) 2室2厅 90.81平米,2017.05,755,83141
玉兰香苑(四期) 2室2厅 90.98平米,2017.05,432,47483
张江汤臣豪园(三期) 2室2厅 87.32平米,2017.05,665,76157
中芯花园(公寓) 2室2厅 107.87平米,2017.05,660,61185
玉兰香苑(三期) 1室1厅 62.25平米,2017.05,340,54619
城市经典(四期) 5室3厅 222.64平米,2017.05,1220,54797
盛大天地青春里(一期) 1室1厅 43.23平米,2017.05,199,46033
玉兰香苑(四期) 2室2厅 91.14平米,2017.05,440,48278
万科翡翠公园(商业类) 2室1厅 45平米,2017.05,258,57334
川杨新苑(三期) 2室1厅 57.8平米,2017.05,300,51904
东郊华庭 5室2厅 380.2平米,2017.05,1800,47344
香楠小区 1室1厅 53.33平米,2017.05,300,56254
陶园 4室2厅 152.27平米,2017.05,955,62718
毕加索小镇(一期)(公寓) 2室2厅 93.11平米,2017.05,570,61218
玉兰香苑(二期) 2室1厅 57.86平米,2017.05,344.8,59593
川杨新苑(二期) 2室1厅 58平米,2017.05,295,50863
樟盛苑 3室1厅 90.43平米,2017.05,480,53080
汤臣豪园一期 3室2厅 257.23平米,2017.05,1350,52483
香楠小区 3室1厅 85.95平米,2017.05,440,51193
紫晶苑 2室1厅 82.02平米,2017.05,380,46331
城市经典(四期) 2室2厅 118.16平米,2017.05,725,61358
张江公馆 2室2厅 71.36平米,2017.05,380,53252
阳光花城 3室2厅 115.46平米,2017.04,755,65391
孙桥花苑 2室1厅 80.92平米,2017.04,350,43253
